appid,name,genres,tags,release_date,current_players,collected_at
473470,Purgatory,"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",[],"22 Jun, 2016",0,2026-03-17T22:42:35.821549
862480,The Spiral Scouts,"['Adventure', 'Indie']",[],"12 Jul, 2018",1,2026-03-17T22:42:38.380827
1194710,Playground Heroes,"['Action', 'Casual', 'Indie']",[],Coming soon,0,2026-03-17T22:42:41.248503
61730,Critter Crunch,"['Action', 'Casual', 'Indie']",[],"11 Sep, 2012",0,2026-03-17T22:42:43.808574
2011080,Tawako The Forest Hedgehog,['Casual'],[],"4 Jul, 2022",0,2026-03-17T22:42:46.675999
462990,Tomoyo After ~It's a Wonderful Life~ English Edition,"['Adventure', 'Casual', 'RPG', 'Strategy']",[],"1 Jul, 2016",0,2026-03-17T22:42:49.236446
1499880,Grayland,['Indie'],[],Coming soon,0,2026-03-17T22:42:52.102430
309900,Super Sky Arena,"['Action', 'Indie', 'Early Access']",[],"5 Oct, 2015",0,2026-03-17T22:42:54.662444
3439010,Clicker Conquest,"['Action', 'Adventure', 'Casual', 'Indie', 'Simulation']",[],"1 Apr, 2025",0,2026-03-17T22:42:57.633157
1411770,Redd's Runaway,"['Action', 'Indie']",[],"27 Oct, 2020",0,2026-03-17T22:43:00.499521
3608630,Flavours of the past,"['Casual', 'Indie', 'Simulation', 'Strategy']",[],Coming soon,0,2026-03-17T22:43:03.366768
1024400,Marenian Tavern Story: Patty and the Hungry God,"['Adventure', 'Casual', 'RPG', 'Strategy']",[],"21 May, 2019",0,2026-03-17T22:43:05.926566
3439820,Back rooms: The old Watcher,"['Action', 'Adventure', 'Casual', 'Indie']",[],"1 Feb, 2025",0,2026-03-17T22:43:08.793423
3524780,Sydless,"['Action', 'Indie']",[],Q2 2026,0,2026-03-17T22:43:11.661128
